Index;Tid;I1;U1;U2;HMI_trig;IO_trig;I_95_start;I_105_start;I_95_trip;I_105_trip;Bryterfeilvern
352;987363;116;199;200;0;0;0;0;0;0;0
353;990176;171;196;197;0;0;0;0;0;0;0
354;992989;268;199;194;0;0;0;0;0;0;0
355;995802;346;199;194;0;0;0;0;0;0;0
356;998615;390;199;197;0;0;0;0;0;0;0
357;1001428;376;202;200;0;0;0;0;0;0;0
358;1004241;290;207;194;0;0;0;0;0;0;0
359;1007054;177;199;200;0;0;0;0;0;0;0
360;1009867;55;202;200;0;0;0;0;0;0;0
361;1012680;-6;199;194;0;0;0;0;0;0;0
362;1015493;-80;202;192;0;0;0;0;0;0;0
363;1018306;-133;199;200;0;0;0;0;0;0;0
364;1021119;-180;202;200;0;0;0;0;0;0;0
365;1023932;-294;199;200;0;0;0;0;0;0;0
366;1026745;-368;202;202;0;0;0;0;0;0;0
367;1029558;-396;202;200;0;0;0;0;0;0;0
368;1032371;-354;196;194;0;0;0;0;0;0;0
369;1035184;-252;196;192;0;0;0;0;0;0;0
370;1037997;-139;202;197;0;0;0;0;0;0;0
371;1040810;-33;204;200;0;0;0;0;0;0;0
372;1043623;22;202;200;0;0;0;0;0;0;0
373;1046436;99;199;200;0;0;0;0;0;0;0
374;1049249;152;196;197;0;0;0;0;0;0;0
375;1052062;227;202;197;0;0;0;0;0;0;0
376;1054875;324;199;194;0;0;0;0;0;0;0
377;1057688;379;196;200;0;0;0;0;0;0;0
378;1060501;396;202;200;0;0;0;0;0;0;0
379;1063314;332;204;200;0;0;0;0;0;0;0
380;1066127;224;204;197;0;0;0;0;0;0;0
381;1068940;102;202;197;0;0;0;0;0;0;0
382;1071753;11;199;197;0;0;0;0;0;0;0
383;1074566;-53;199;197;0;0;0;0;0;0;0
384;1077379;-119;202;194;0;0;0;0;0;0;0
385;1080192;-163;199;194;0;0;0;0;0;0;0
386;1083005;-266;202;197;0;0;0;0;0;0;0
387;1085818;-352;207;202;0;0;0;0;0;0;0
388;1088631;-393;199;202;0;0;0;0;0;0;0
389;1091444;-385;199;200;0;0;0;0;0;0;0
390;1094257;-291;202;194;0;0;0;0;0;0;0
391;1097070;-186;199;192;0;0;0;0;0;0;0
392;1099883;-61;202;200;0;0;0;0;0;0;0
393;1102696;0;199;197;0;0;0;0;0;0;0
394;1105509;75;202;200;0;0;0;0;0;0;0
395;1108322;133;199;194;0;0;0;0;0;0;0
396;1111135;191;202;197;0;0;0;0;0;0;0
397;1113948;290;202;197;0;0;0;0;0;0;0
398;1116761;360;199;192;0;0;0;0;0;0;0
399;1119574;393;199;200;0;0;0;0;0;0;0
400;1122387;351;202;202;0;0;0;0;0;0;0
401;1125200;246;199;202;0;0;0;0;0;0;0
402;1128013;138;199;200;0;0;0;0;0;0;0
403;1130826;27;199;202;0;0;0;0;0;0;0
404;1133639;-22;202;197;0;0;0;0;0;0;0
405;1136452;-103;196;197;0;0;0;0;0;0;0
406;1139265;-150;199;200;0;0;0;0;0;0;0
407;1142078;-222;199;197;0;0;0;0;0;0;0
408;1144891;-321;199;202;0;0;0;0;0;0;0
409;1147704;-379;204;200;0;0;0;0;0;0;0
410;1150517;-390;199;197;0;0;0;0;0;0;0
411;1153330;-332;199;197;0;0;0;0;0;0;0
412;1156143;-216;199;192;0;0;0;0;0;0;0
413;1158956;-105;199;197;0;0;0;0;0;0;0
414;1161769;-6;204;202;0;0;0;0;0;0;0
415;1164582;50;202;200;0;0;0;0;0;0;0
416;1167395;122;202;200;0;0;0;0;0;0;0
417;1170208;169;204;194;0;0;0;0;0;0;0
418;1173021;266;199;194;0;0;0;0;0;0;0
419;1175834;346;199;197;0;0;0;0;0;0;0
420;1178647;393;199;194;0;0;0;0;0;0;0
421;1181460;379;202;200;0;0;0;0;0;0;0
422;1184273;293;202;202;0;0;0;0;0;0;0
423;1187086;185;207;197;0;0;0;0;0;0;0
424;1189899;61;202;200;0;0;0;0;0;0;0
425;1192712;0;202;197;0;0;0;0;0;0;0
426;1195525;-75;199;194;0;0;0;0;0;0;0
427;1198338;-133;202;194;0;0;0;0;0;0;0
428;1201151;-186;204;200;0;0;0;0;0;0;0
429;1203964;-294;204;197;0;0;0;0;0;0;0
430;1206777;-368;202;197;0;0;0;0;0;0;0
431;1209590;-404;199;197;0;0;0;0;0;0;0
432;1212403;-374;202;194;0;0;0;0;0;0;0
433;1215216;-263;194;197;0;0;0;0;0;0;0
434;1218029;-152;196;194;0;0;0;0;0;0;0
435;1220842;-36;202;200;0;0;0;0;0;0;0
436;1223655;14;202;202;0;0;0;0;0;0;0
437;1226468;97;204;202;0;0;0;0;0;0;0
438;1229281;149;202;205;0;0;0;0;0;0;0
439;1232094;224;199;194;0;0;0;0;0;0;0
440;1234907;324;196;192;0;0;0;0;0;0;0
441;1237720;382;202;194;0;0;0;0;0;0;0
442;1240533;401;202;200;0;0;0;0;0;0;0
443;1243346;343;202;200;0;0;0;0;0;0;0
444;1246159;230;204;197;0;0;0;0;0;0;0
445;1248972;113;202;200;0;0;0;0;0;0;0
446;1251785;22;202;197;0;0;0;0;0;0;0
447;1254598;-42;199;194;0;0;0;0;0;0;0
448;1257411;-108;196;189;0;0;0;0;0;0;0
449;1260224;-155;204;197;0;0;0;0;0;0;0
450;1263037;-269;202;202;0;0;0;0;0;0;0
451;1265850;-354;202;205;0;0;0;0;0;0;0
452;1268663;-390;204;197;0;0;0;0;0;0;0
453;1271476;-388;196;194;0;0;0;0;0;0;0
454;1274289;-302;199;197;0;0;0;0;0;0;0
455;1277102;-188;199;194;0;0;0;0;0;0;0
456;1279915;-64;202;200;0;0;0;0;0;0;0
457;1282728;-6;202;197;0;0;0;0;0;0;0
458;1285541;72;202;202;0;0;0;0;0;0;0
459;1288354;130;199;200;0;0;0;0;0;0;0
460;1291167;191;199;194;0;0;0;0;0;0;0
461;1293980;290;196;194;0;0;0;0;0;0;0
462;1296793;362;196;197;0;0;0;0;0;0;0
463;1299606;398;204;200;0;0;0;0;0;0;0
464;1302419;362;199;197;0;0;0;0;0;0;0
465;1305232;263;199;200;0;0;0;0;0;0;0
466;1308045;152;202;197;0;0;0;0;0;0;0
